Date,Points,Event_id,Team_id,Player_id,Match_id,Year,Rating,Enemy_id,Enemy_points,Elimination_match,Stage,Team_rank,Enemy_rank,Offline,Number_of_events,Prizepool
2023-01-17,36,6957,9806,6904,2361098,2023,0.86,11811,1,0,3,35,48,0,155,51266.16973627034
2022-12-07,32,6920,12000,17145,2360618,2022,1.3,11425,2,0,3,27,55,0,138,22148.277064037444
2022-06-23,44,6569,10386,13466,2356983,2022,1.3,7555,1,1,1,30,194,0,128,22148.277064037444
2022-09-22,18,6775,10737,15940,2359060,2022,1.13,11633,2,1,2,90,206,0,98,22148.277064037444
2022-12-06,33,6920,10737,15940,2360613,2022,0.91,4501,2,0,3,56,82,0,106,22148.277064037444
2022-12-07,32,6920,9806,6904,2360683,2022,1.12,11164,2,0,2,70,66,0,147,22148.277064037444
2017-11-05,36,3323,8209,9798,2316849,2017,1.06,8081,1,0,1,253,296,0,7,12631.661306462307
2022-09-24,32,6775,11947,11343,2359128,2022,1.33,11633,0,1,1,43,206,0,181,22148.277064037444
2022-05-23,45,6371,10386,17145,2356266,2022,1.26,9802,1,0,1,30,186,0,122,22772.356595102934
2022-12-07,32,6920,12000,11343,2360618,2022,1.26,11425,2,0,3,27,55,0,187,22148.277064037444
2022-12-07,39,6920,10737,15940,2360668,2022,1.22,11609,1,1,2,56,68,0,106,22148.277064037444
2022-06-21,29,6569,9806,6904,2356923,2022,1.0,5347,1,0,2,44,42,0,140,22148.277064037444
2021-09-23,40,6152,8248,9798,2351631,2021,0.85,10276,1,0,2,71,88,0,94,23453.14280034559
2023-08-03,22,7330,10973,15940,2365699,2023,1.09,9215,0,0,1,48,33,0,131,199817.60502367877
2021-12-07,35,6311,10386,11343,2353613,2021,1.13,8362,2,0,2,35,24,0,155,23453.14280034559
2022-09-24,32,6775,11947,13466,2359128,2022,1.22,11633,0,1,1,43,206,0,135,22148.277064037444
2022-06-16,35,6569,10386,17145,2356852,2022,0.97,11147,2,0,3,32,178,0,124,22148.277064037444
2023-09-25,43,7385,10973,9798,2366985,2023,0.84,7234,2,0,1,84,49,0,146,20530.19308682247
2022-06-23,32,6569,9806,6904,2356980,2022,1.06,4602,0,1,1,44,84,0,140,22148.277064037444
2021-06-30,38,5978,10386,11343,2349771,2021,0.9,11129,1,0,1,36,83,0,135,23453.14280034559
2020-03-19,32,5252,10386,17145,2340477,2020,1.71,10509,0,0,1,66,70,0,30,17836.074597532282
2022-09-22,14,6775,11947,17145,2359070,2022,0.88,11464,2,0,2,43,72,0,131,22148.277064037444
2021-06-30,38,5978,10386,17145,2349771,2021,0.9,11129,1,0,1,36,83,0,87,23453.14280034559
2022-06-23,44,6569,10386,17145,2356983,2022,1.17,7555,1,1,1,30,194,0,124,22148.277064037444
2022-09-24,32,6775,11947,17145,2359128,2022,1.17,11633,0,1,1,43,206,0,131,22148.277064037444
2022-09-22,14,6775,11947,11343,2359070,2022,1.1,11464,2,0,2,43,72,0,181,22148.277064037444
2023-01-25,19,6957,12000,17145,2361104,2023,1.27,10278,0,0,3,24,44,0,149,51266.16973627034
2021-09-23,40,6152,8248,15940,2351631,2021,1.27,10276,1,0,2,71,88,0,77,23453.14280034559
2021-12-07,35,6311,10386,17145,2353613,2021,1.25,8362,2,0,2,35,24,0,106,23453.14280034559
2022-09-22,46,6775,9806,6904,2359071,2022,0.79,11771,2,0,2,67,88,0,144,22148.277064037444
2022-05-23,21,6371,9806,6904,2356267,2022,1.09,4762,2,0,1,41,126,0,139,22772.356595102934
2022-12-07,38,6920,12000,11343,2360669,2022,1.1,11883,2,0,2,27,104,0,187,22148.277064037444
2023-03-11,25,7107,10737,15940,2362789,2023,1.2,11458,0,1,1,48,165,0,120,20630.22237241416
2023-03-07,40,7107,10737,15940,2362689,2023,1.07,11278,1,0,3,48,75,0,120,20630.22237241416
2020-03-19,32,5252,10386,13466,2340477,2020,1.12,10509,0,0,1,66,70,0,34,17836.074597532282
2023-03-11,25,7107,10737,9798,2362789,2023,0.95,11458,0,1,1,48,165,0,127,20630.22237241416
2023-04-19,32,7158,9806,6904,2363615,2023,0.91,7244,2,0,2,33,101,0,165,50557.58282981115
2021-09-26,30,6152,8248,15940,2351669,2021,1.25,10867,2,1,1,71,155,0,77,23453.14280034559
2021-09-21,35,6152,8248,15940,2351636,2021,1.17,11140,2,0,3,71,320,0,77,23453.14280034559
2023-08-02,32,7330,9806,6904,2365695,2023,1.36,11948,0,0,1,9,38,0,168,199817.60502367877
2023-08-03,22,7330,10973,9798,2365699,2023,0.91,9215,0,0,1,48,33,0,139,199817.60502367877
2022-12-06,38,6920,9806,6904,2360622,2022,1.28,11458,0,0,3,70,124,0,147,22148.277064037444
2022-09-22,42,6775,8248,9798,2359076,2022,0.94,11827,1,0,2,167,111,0,110,22148.277064037444
2021-12-07,35,6311,10386,13466,2353613,2021,1.32,8362,2,0,2,35,24,0,110,23453.14280034559
2021-12-07,32,6311,8248,9798,2353610,2021,0.69,11292,2,0,2,67,81,0,99,23453.14280034559
2021-06-29,45,5978,8248,15940,2349767,2021,0.95,11003,2,0,1,109,25,0,73,23453.14280034559
2022-06-16,32,6569,9806,6904,2356854,2022,1.42,10697,0,0,3,57,131,0,140,22148.277064037444
2021-12-08,43,6311,8248,9798,2353632,2021,0.78,6978,1,1,1,67,108,0,99,23453.14280034559
2022-06-16,35,6569,10386,11343,2356852,2022,1.28,11147,2,0,3,32,178,0,172,22148.277064037444
2022-06-21,35,6569,10386,17145,2356898,2022,1.02,10888,1,0,2,30,70,0,124,22148.277064037444
2022-09-20,30,6775,10737,15940,2359030,2022,1.18,10999,2,0,3,90,221,0,98,22148.277064037444
2021-09-26,30,6152,8248,9798,2351669,2021,0.65,10867,2,1,1,71,155,0,94,23453.14280034559
2021-06-30,38,5978,10386,13466,2349771,2021,0.99,11129,1,0,1,36,83,0,92,23453.14280034559
2023-01-25,19,6957,12000,13466,2361104,2023,0.63,10278,0,0,3,24,44,0,146,51266.16973627034
2022-09-22,14,6775,11947,13466,2359070,2022,0.8,11464,2,0,2,43,72,0,135,22148.277064037444
2023-04-17,32,7158,9806,6904,2363605,2023,1.21,11838,2,0,3,33,56,0,165,50557.58282981115
2022-06-16,35,6569,10386,13466,2356852,2022,1.16,11147,2,0,3,32,178,0,128,22148.277064037444
2022-12-07,32,6920,12000,13466,2360618,2022,1.26,11425,2,0,3,27,55,0,143,22148.277064037444
2021-12-08,43,6311,8248,15940,2353632,2021,1.23,6978,1,1,1,67,108,0,82,23453.14280034559
2021-09-21,35,6152,8248,9798,2351636,2021,1.31,11140,2,0,3,71,320,0,94,23453.14280034559
2022-06-21,35,6569,10386,13466,2356898,2022,1.08,10888,1,0,2,30,70,0,128,22148.277064037444
2021-12-07,32,6311,8248,15940,2353610,2021,1.04,11292,2,0,2,67,81,0,82,23453.14280034559
2022-05-23,45,6371,10386,11343,2356266,2022,1.21,9802,1,0,1,30,186,0,171,22772.356595102934
2022-05-23,45,6371,10386,13466,2356266,2022,1.27,9802,1,0,1,30,186,0,125,22772.356595102934
2023-02-28,17,6957,12000,11343,2361494,2023,1.09,4674,2,1,1,39,61,0,190,51266.16973627034
